"As U.S. budget fight looms, Republicans flip their fiscal script",real,real
Racist Alabama Cops Brutalize Black Boy While He Is In Handcuffs (GRAPHIC IMAGES),fake,fake
"Trump Said Some INSANELY Racist Stuff Inside The Oval Office, And Witnesses Back It Up",real,fake
"Trump Said Some INSANELY Racist Stuff Inside The Oval Office, And Witnesses Back It Up",fake,fake
"Factbox: Trump on Twitter (Dec 28) - Vanity Fair, Hillary Clinton",real,real
"Factbox: Trump on Twitter (Dec 28) - Vanity Fair, Hillary Clinton",fake,real
Trump Spent The Night Retweeting A White Supremacist Convicted Criminal,fake,fake
India got Independence in 2021,fake,fake
Big Bang theory was written by Leonardo Da Vinci,fake,fake
Big bang theory is fictional and animated,fake,fake
Hi,real,fake
Hi,real,fake
Big bang theory is about how robots killed people,fake,fake
India is the capital of USA,fake,fake
Male Kangaroos give birth to their younger ones,fake,fake
Male sea horses give birth to babies,real,real
Narendra Modi is the president of Russia,fake,fake
Snakes are herbivorous,fake,fake
Rain water is salty,fake,fake
Hair has Keratin protein in it,real,real
